,original_organization_name,new_organization_name,organization_status,summary_of_organization,ten_keywords_describing_organization,estimated_funding,source_estimated_funding,estimated_number_of_employees,source_estimated_number_of_employees
223,"National Library of Medicine, NIH","National Library of Medicine, NIH",['Active'],"The National Library of Medicine (NLM) is a part of the National Institutes of Health (NIH) and serves as the world's largest biomedical library. It provides access to a vast array of biomedical information and resources, including the Medical Subject Headings (MeSH), facilitating research and education in the health sciences.","['biomedical', 'library', 'research', 'health', 'information', 'NLM', 'MeSH', 'education', 'resources', 'NIH']",Approximately $510 million (FY2023),National Institutes of Health Budget,"Approximately 1,200",National Library of Medicine Staffing Information
224,"National Library of Medicine, NIH","National Library of Medicine, NIH",['Active'],"The National Library of Medicine (NLM) is a part of the National Institutes of Health (NIH) and serves as a major resource for biomedical literature, providing access to over 37 million citations through its PubMed database. It supports research and healthcare by offering tools and information resources related to medicine and life sciences.","['biomedical literature', 'PubMed', 'citations', 'healthcare', 'research', 'national library', 'NLM', 'NIH', 'information resources', 'life sciences']",Approximately $500 million (as per the latest NIH budget data),NIH Annual Budget Report,Around 900,NLM Human Resources
225,"National Library of Medicine, NIH","National Library of Medicine, NIH",['Active'],"The National Library of Medicine (NLM) is the world's largest biomedical library and serves as a national resource for health professionals, researchers, and the public, providing access to an extensive collection of medical literature and information. NLM is involved in various research initiatives and the development of health data standards to improve healthcare information exchange.","['biomedical', 'healthcare', 'research', 'library', 'information', 'resources', 'clinical trials', 'informatics', 'data standards', 'public health']",Approximately $54 million (FY 2023),National Library of Medicine Budget Reports,Over 400 employees,NIH Workforce Analysis
226,Office of Chief Information Officer,Federal Interagency Forum on Child and Family Statistics,Active,"The Federal Interagency Forum on Child and Family Statistics focuses on the collection, analysis, and dissemination of data concerning the well-being of children and families in the United States. Their annual report provides key indicators related to various aspects of child and family well-being.","['children', 'families', 'statistics', 'well-being', 'indicators', 'data', 'government', 'education', 'health', 'social environment']",Not disclosed,Not available,Not disclosed,Not available
227,"Office of the Surgeon General, Office of the Secretary",,['Not Active'],"The Office of the Surgeon General, part of the U.S. Department of Health and Human Services, provides leadership and guidance on public health matters. However, access to the official website was denied, indicating the organization might not be currently operational or accessible online.","['Surgeon General', 'Public Health', 'Health Leadership', 'Federal Agency', 'Health Policy', 'Advisory Role', 'United States', 'Health Promotion', 'Disease Prevention', 'Health Guidance']",Not Available,N/A,Not Available,N/A
228,"Program Support Center, Office of the Secretary","Program Support Center, Office of the Secretary",['Not Active'],"The Program Support Center (PSC) provided a range of services to support the operations of the Department of Health and Human Services, including financial and administrative services.","['Program Support', 'Health Services', 'Administrative Support', 'Financial Services', 'Department of Health', 'Human Services', 'Operational Efficiency', 'Government Agency', 'Public Health', 'Agency Services']",N/A,N/A,N/A,N/A
229,Health Resources and Services Administration,,['Active'],"The Health Resources and Services Administration (HRSA) is a federal agency under the Department of Health and Human Services that ensures access to essential health services for individuals in high-need communities. HRSA supports millions of underserved people, focusing on improving healthcare access, maternal and child health, and healthcare workforce enhancement.","['healthcare', 'underserved', 'maternal health', 'rural health', 'HIV support', 'community services', 'health workforce', 'public health', 'grants', 'telehealth']",$19 million awarded in specific maternal health initiatives as of October 2024.,Recent Press Releases from HRSA.,"Approximately 22,000 healthcare providers participate in HRSA programs.",HRSA initiatives and program descriptions.
230,Administration for Community Living,Administration for Community Living,['Active'],"The Administration for Community Living (ACL) is a federal agency dedicated to increasing access and support for older adults and people with disabilities. The agency works to ensure that these populations can live independently, with dignity, and participate fully in their communities.","['Community', 'Living', 'Disabilities', 'Support', 'Access', 'Older Adults', 'Independence', 'Dignity', 'Health', 'Human Services']",Approximately $2 billion,Federal budget allocations and agency reports,Approximately 600,Federal workforce statistics
231,Central Intelligence Agency,Central Intelligence Agency,['Active'],"The Central Intelligence Agency (CIA) is the premier foreign intelligence agency of the United States, tasked with collecting and analyzing foreign intelligence, conducting covert actions, and providing decision-making intelligence to U.S. policymakers and national leaders.","['Intelligence', 'National Security', 'Covert Operations', 'Analysis', 'Foreign Affairs', 'Policy Support', 'Defense', 'Espionage', 'Counterterrorism', 'CIA Museum']",Not publicly disclosed,U.S. Government Budget,"Approximately 21,000",CIA Official Information
232,Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,['Active'],"The Farm Credit System Insurance Corporation (FCSIC) is an independent U.S. Government-controlled corporation responsible for maintaining the Farm Credit System Insurance Fund. Its primary purpose is to insure the timely payment of principal and interest on insured debt obligations issued on behalf of Farm Credit System banks, thus protecting investors and ensuring a reliable funding source for agricultural borrowers and rural communities.","['insurance', 'agriculture', 'debt', 'investment', 'government-sponsored', 'rural development', 'financial services', 'Farm Credit System', 'investor protection', 'independent corporation']",Not publicly disclosed,FCSIC Annual Reports,Not publicly disclosed,FCSIC Organizational Structure
